keyword_name,keyword_pc_search,keyword_phone_search,cafe_contents,blog_contents,smart_store_products,naver_blog_contents_divide_keyword_pc_search,naver_blog_contents_divide_keyword_phone_search,naver_blog_contents_divide_all_keyword_search,naver_cafe_contents_divide_keyword_pc_search,naver_cafe_contents_divide_keyword_phone_search,naver_cafe_contents_divide_all_keyword_search,naver_smart_store_divide_keyword_pc_search,naver_smart_store_divide_keyword_phone_search,naver_smart_store_divide_all_keyword_search
인스타그램,586700,1791900,870568,3939601,11854,6.714847451849327,2.19856074557732,1.6562688135878247,1.483838418271689,0.48583514705061664,0.36600016816614817,0.020204533833304925,0.006615324515877002,0.004983603800554948
인플루언서마케팅,5990,1980,3347,22949,173,3.831218697829716,11.59040404040404,2.879422835633626,0.5587646076794658,1.6904040404040404,0.41994981179422836,0.028881469115191988,0.08737373737373737,0.021706398996235884
블로그포스팅,1000,1180,704615,6306181,46,6306.181,5344.221186440678,2892.7435779816515,704.615,597.1313559322034,323.2178899082569,0.046,0.03898305084745763,0.02110091743119266
인스타그램홍보,1390,2360,89079,175950,176,126.58273381294964,74.55508474576271,46.92,64.08561151079137,37.74533898305085,23.7544,0.12661870503597122,0.07457627118644068,0.046933333333333334
SNS마케팅,3000,2150,32384,352344,1539,117.448,163.88093023255814,68.41631067961166,10.794666666666666,15.06232558139535,6.288155339805825,0.513,0.7158139534883721,0.29883495145631067
마케팅사이트,110,30,279971,527804,462,4798.218181818182,17593.466666666667,3770.0285714285715,2545.190909090909,9332.366666666667,1999.7928571428572,4.2,15.4,3.3
SEO교육,20,10,3499,5961,2,298.05,596.1,198.7,174.95,349.9,116.63333333333334,0.1,0.2,0.06666666666666667
광고매체,300,180,141433,339593,48,1131.9766666666667,1886.6277777777777,707.4854166666667,471.4433333333333,785.7388888888889,294.65208333333334,0.16,0.26666666666666666,0.1
네이버교육,1150,750,563641,621791,26105,540.6878260869565,829.0546666666667,327.2584210526316,490.12260869565216,751.5213333333334,296.65315789473686,22.7,34.806666666666665,13.739473684210527
키워드광고교육,10,10,24653,30527,12,3052.7,3052.7,1526.35,2465.3,2465.3,1232.65,1.2,1.2,0.6
인터넷광고,1330,860,85346,1051131,297,790.3240601503759,1222.2453488372093,479.96849315068494,64.16992481203008,99.23953488372094,38.97077625570776,0.22330827067669173,0.3453488372093023,0.13561643835616438
인스타그램광고,2690,2160,60510,156124,102,58.038661710037175,72.27962962962962,32.19051546391753,22.49442379182156,28.01388888888889,12.476288659793815,0.0379182156133829,0.04722222222222222,0.021030927835051547
온라인마케팅과정,10,10,16663,149157,11,14915.7,14915.7,7457.85,1666.3,1666.3,833.15,1.1,1.1,0.55
